category,token,display,text
N,FHRF,眺め,眺め
suffix-3,FHF_,,
N,FHFH,瞳,瞳
N,FHFL,顔,顔
N,FHFR,花,花
N,FHFF,向こう,向こう
suffix-2,FL__,～するべし,～するべし
XX_X,FL_H,,
XX_X,FL_L,,
XX_X,FL_R,,
XX_X,FL_F,,
suffix-3,FLH_,,
N,FLHH,大人,大人
N,FLHL,子供,子供
N,FLHR,男の子,男の子
N,FLHF,女の子,女の子
suffix-3,FLL_,,
N,FLLH,上,上
N,FLLL,左,左
N,FLLR,右,右
N,FLLF,下,下
suffix-3,FLR_,,
N,FLRH,逆さ,逆さ
N,FLRL,バカ,おこ、まぬけ、バカ
N,FLRR,あいだ,あいだ
N,FLRF,日々,日々
suffix-3,FLF_,,
N,FLFH,息,息
N,FLFL,名前,名前
N,FLFR,眠り,眠り
N,FLFF,糸,糸
suffix-2,FR__,～するごとし,～するごとし
XX_X,FR_H,,
XX_X,FR_L,,
XX_X,FR_R,,
XX_X,FR_F,,
suffix-3,FRH_,,
N,FRHH,跡,跡
N,FRHL,桜,桜
N,FRHR,影,影
N,FRHF,水,水
suffix-3,FRL_,,
N,FRLH,書いたもの,書いたもの、文字、絵
N,FRLL,渦,渦
N,FRLR,すじ,すじ、線
N,FRLF,入り江,入り江
suffix-3,FRR_,,
N,FRRH,雲,雲
N,FRRL,光,光
N,FRRR,月,月
N,FRRF,生き物,生き物
suffix-3,FRF_,,
N,FRFH,問,問
N,FRFL,答え,答え
N,FRFR,,
N,FRFF,,
suffix-2,FF__,～します,～します
XX_X,FF_H,,
XX_X,FF_L,,
XX_X,FF_R,,
XX_X,FF_F,,
suffix-3,FFH_,,
N,FFHH,,
N,FFHL,,
N,FFHR,,
N,FFHF,,
suffix-3,FFL_,,
N,FFLH,,
N,FFLL,,
N,FFLR,,
N,FFLF,,
suffix-3,FFR_,,
N,FFRH,,
N,FFRL,,
N,FFRR,,
N,FFRF,,
suffix-3,FFF_,,
N,FFFH,,
N,FFFL,,
N,FFFR,,
